ISIN Div Payout/ ISIN Growth	Net Asset Value
INF109K01P40	101.9935
INF109K01P57	401.3974
INF109K01P65	171.6110
INF109K018Z6	102.6565
INF109KA1012	108.6397
INF109K01P73	102.4780
INF109K01AZ6	101.9908
INF109K01AX1	371.7010
INF109K01WQ9	164.0786
INF109KA1038	103.1015
INF109KA1053	107.1895
INF109K01EN4	102.4647
INF109K01928	100.0251
INF109K01910	101.3988
INF109K01936	300.7518
INF109K01EK0	101.1821
INF109K01951	100.025
INF109K01969	101.397
INF109K01977	324.7401
INF109K01EL8	101.1822
INF109K01AA9	100.9403
INF109K01993	101.3966
INF109K01AB7	218.1632
INF109K01EM6	101.3043
	
	
	
INF174KA1EC0	1334.412
-	1162.4764
INF174KA1DY6	1312.9877
-	1168.5463
	
	
	
INF204K01E05	41.0927
-	10.2609
-	10.2824
INF204KA1DU8	18.3342
INF204K01D89	11.3017
INF204K01C98	10.8560
INF204K01D14	10.2790
INF204K01CG1	39.2566
INF204KA1DS2	17.7254
INF204K01CH9	11.1036
INF204K01HK2	10.9621
INF204K01OQ5	10.2752
	
	
	
INF200KA1R64	11.6800
INF200KA1R72	11.6793
INF200KA1R98	11.6801
INF200KA1R15	11.6119
INF200KA1R23	11.6125
INF200KA1R49	11.6127
	
	
	
INF277KA1026	11.2691
-	11.2691
INF277KA1042	11.2691
-	11.2691
INF277KA1034	11.2691
-	11.2691
INF277KA1059	11.2691
INF277KA1091	11.1611
-	11.1611
INF277KA1117	11.1611
-	11.1611
INF277KA1109	11.1611
-	11.1611
INF277KA1125	11.1611
	
	
	
INF789F1ACX5	1371.2452
INF789F1ACO4	1321.0576
INF789F1ADA1	1255.2639
INF789F1ADE3	1291.8158
INF789F1ADC7	1249.9219
INF789F1ACY3	1247.0077
INF789F1ACR7	1254.5975
INF789F1ACV9	1207.6812
INF789F1ACT3	1166.6973
INF789F1ACP1	1149.806
	
	
	
	
	
INF209KA1LC4	11.6134
INF209K01AF6	11.0219
INF209K01AC3	70.4926
INF209K01XP7	74.8712
	
	
	
INF846K013O9	10.4690
INF846K012O1	10.4691
INF846K015O4	10.4545
INF846K016O2	10.4544
INF846K01NJ0	14.7352
INF846K01DD4	23.1476
INF846K01DF9	10.7809
INF846K01DG7	10.0660
INF846K01AX8	21.8666
INF846K01AZ3	10.4398
INF846K01CK1	10.0612
	
	
	
INF194K01EB1	11.2271
INF194K01EE5	11.1751
INF194K01EH8	11.6210
INF194KA1RW6	14.2677
INF194K01DZ2	30.3757
INF194K01EK2	11.4467
INF194K01Q78	12.2635
INF194K01Q29	32.4736
INF194K01Q45	12.1912
INF194K01R36	12.5208
INF194KA1RZ9	15.3706
INF194K01R02	11.3154
	
	
	
INF955L01AD7	40.0151
INF955L01AB1	31.5758
INF955L01450	36.6714
INF955L01435	23.3969
	
	
	
INF760K01FC4	70.1595
INF760K01FA8	15.8738
INF760K01AE1	65.9896
INF760K01AB7	14.7525
	
	
	
INF740K01NF3	87.1005
INF740K01NG1	12.8601
INF740K01NE6	10.7887
INF740K01615	82.6212
INF740K01607	12.7219
INF740K01623	10.7350
	
	
	
INF843K01GS2	22.3173
INF843K01GU8	22.2284
INF843K01GX2	20.0855
INF843K01GZ7	16.7075
INF843K01GW4	15.881
INF843K01HL5	21.2342
INF843K01HC4	21.2248
